Occurrence,Filière,Produit,Indicateur,  Valeur 
2020/2021,Céréales,Orge,Superficie (Ha)," 9,500 "
2020/2021,Céréales,Blé tendre,Production-T (Tonnes)," 1,764 "
2020/2021,Maraîchage,Petit Pois vert,Superficie (Ha), 400 
2020/2021,Maraîchage,Tomate,Superficie (Ha), 6 
2020/2021,Fourragères,Orge fourrager,Superficie (Ha), 750 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes), 628 
2020/2021,Rosacées,Poirier,Superficie (Ha), 9 
2020/2021,Rosacées,Abricotier,Production-T (Tonnes), 90 
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes), 983 
2020/2021,Fourragères,Luzerne,Production-T (Tonnes), 960 
2020/2021,Rosacées,Pommier,Superficie (Ha), 64 
2020/2021,Fourragères,Avoine vert,Production-T (Tonnes)," 5,000 "
2020/2021,Maraîchage,Fève verte,Superficie (Ha), 140 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes)," 1,075 "
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes)," 9,000 "
2020/2021,Maraîchage,Pastèque,Production-T (Tonnes)," 1,400 "
2020/2021,Oliviers,Olivier,Superficie (Ha)," 1,054 "
2020/2021,Agrumes,Petit fruit_Autres,Superficie (Ha), 119 
2020/2021,Rosacées,Cognassier,Superficie (Ha), 69 
2020/2021,Agrumes,Orange_Navel late,Production-T (Tonnes)," 2,565 "
2020/2021,Rosacées,Poirier,Superficie (Ha), 30 
2020/2021,Maraîchage,Navet,Production-T (Tonnes), 960 
2020/2021,Fourragères,Autres cultures fourragères,Superficie (Ha), 24 
2020/2021,Rosacées,Noyer,Production-T (Tonnes), 170 
2020/2021,Fourragères,Luzerne,Production-T (Tonnes)," 39,800 "
2020/2021,Agrumes,Petit fruit_Nova,Production-T (Tonnes)," 7,235 "
2020/2021,Rosacées,Autres plantations fruitières,Superficie (Ha), 58 
2020/2021,Fourragères,Bersim,Superficie (Ha), 30 
2020/2021,Rosacées,Grenadier,Production-T (Tonnes)," 1,200 "
2020/2021,Maraîchage,Navet,Production-T (Tonnes), 20 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes)," 13,650 "
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 600 
2020/2021,Rosacées,Figuier,Superficie (Ha), 33 
2020/2021,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes)," 27,378 "
2020/2021,Fourragères,Mais fourrager,Superficie (Ha), 400 
2020/2021,Fourragères,Bersim,Superficie (Ha), 18 
2020/2021,Rosacées,Autres plantations fruitières,Production-T (Tonnes), 484 
2020/2021,Agrumes,Petit fruit_Clémentine,Superficie (Ha), 498 
2020/2021,Maraîchage,Tomate,Superficie (Ha), 400 
2020/2021,Légumineuses,Fève,Production-T (Tonnes), 715 
2020/2021,Céréales,Blé tendre,Superficie (Ha), 720 
2020/2021,Fourragères,Féverole,Superficie (Ha), 260 
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 150 
2020/2021,Maraîchage,Navet,Production-T (Tonnes)," 1,856 "
2020/2021,Légumineuses,Fève,Production-T (Tonnes), 126 
2020/2021,Oliviers,Olivier,Production-T (Tonnes), 334 
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes)," 1,050 "
2020/2021,Rosacées,Figuier,Superficie (Ha), 250 
2020/2021,Agrumes,Petit fruit_Nador cott,Production-T (Tonnes)," 4,944 "
2020/2021,Céréales,Blé tendre,Superficie (Ha)," 26,990 "
2020/2021,Rosacées,Néflier,Superficie (Ha), 18 
2020/2021,Sucrières,Betterave à sucre,Superficie (Ha), 254 
2020/2021,Vignes,Raisin de table,Production-T (Tonnes), 429 
2020/2021,Légumineuses,Pois chiche,Superficie (Ha), 710 
2020/2021,Légumineuses,Autres légumineuses,Superficie (Ha), 10 
2020/2021,Rosacées,Grenadier,Production-T (Tonnes), 850 
2020/2021,Rosacées,Grenadier,Production-T (Tonnes), 320 
2020/2021,Rosacées,Prunier,Superficie (Ha)," 1,400 "
2020/2021,Rosacées,Prunier,Production-T (Tonnes), 850 
2020/2021,Oliviers,Olivier,Superficie (Ha)," 53,358 "
2020/2021,Maraîchage,Petit Pois vert,Superficie (Ha), 800 
2020/2021,Rosacées,Cognassier,Superficie (Ha), 78 
2020/2021,Vignes,Raisin de table,Superficie (Ha), 160 
2020/2021,Céréales,Blé tendre,Production-T (Tonnes), 119 
2020/2021,Fourragères,Bersim,Superficie (Ha)," 1,500 "
2020/2021,Agrumes,Orange_Navel late,Superficie (Ha), 30 
2020/2021,Fourragères,Triticale,Production-T (Tonnes), 560 
2020/2021,Vignes,Raisin de cuve,Production-T (Tonnes)," 10,368 "
2020/2021,Oléagineuses,Colza,Superficie (Ha), 52 
2020/2021,Rosacées,Pêcher-nectarine,Superficie (Ha), 115 
2020/2021,Céréales,Blé dur,Superficie (Ha), 240 
2020/2021,Oléagineuses,Colza,Production-T (Tonnes), 108 
2020/2021,Céréales,Orge,Superficie (Ha)," 105,690 "
2020/2021,Céréales,Blé dur,Superficie (Ha), 915 
2020/2021,Rosacées,Cerisier,Superficie (Ha), 8 
2020/2021,Céréales,Blé tendre,Superficie (Ha)," 37,600 "
2020/2021,Maraîchage,Concombre,Production-T (Tonnes)," 3,670 "
2020/2021,Rosacées,Figuier,Superficie (Ha), 54 
2020/2021,Fourragères,Avoine vert,Production-T (Tonnes)," 1,960 "
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 140 
2020/2021,Rosacées,Prunier,Production-T (Tonnes), 460 
2020/2021,Rosacées,Prunier,Superficie (Ha), 353 
2020/2021,Rosacées,Cognassier,Production-T (Tonnes), 180 
2020/2021,Industrielles,Safran,Production-T (Tonnes), 0 
2020/2021,Céréales,Blé dur,Production-T (Tonnes), 837 
2020/2021,Maraîchage,Oignon vert,Superficie (Ha), 50 
2020/2021,Oléagineuses,Colza,Production-T (Tonnes), 612 
2020/2021,Fourragères,Orge fourrager,Superficie (Ha), 300 
2020/2021,Fourragères,Mais fourrager,Superficie (Ha), 60 
2020/2021,Agrumes,Orange_Autres,Production-T (Tonnes), 369 
2020/2021,Rosacées,Pommier,Production-T (Tonnes), 2 
2020/2021,Fourragères,Féverole,Production-T (Tonnes), 520 
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes)," 1,540 "
2020/2021,Fourragères,Mais fourrager,Production-T (Tonnes)," 85,635 "
2020/2021,Maraîchage,Oignon vert,Production-T (Tonnes), 40000 
2020/2021,Maraîchage,Navet,Production-T (Tonnes), 405 
2020/2021,Fourragères,Mais fourrager,Production-T (Tonnes)," 10,500 "
2020/2021,Céréales,Orge,Production-T (Tonnes)," 1,465 "
2020/2021,Fourragères,Mélange fourrager,Superficie (Ha), 150 
2020/2021,Maraîchage,Haricot vert,Production-T (Tonnes), 500 
2020/2021,Agrumes,Petit fruit_Clémentine,Superficie (Ha), 2 
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 7,480 "
2020/2021,Oliviers,Olivier,Superficie (Ha), 233 
2020/2021,Agrumes,Petit fruit_Nules,Superficie (Ha), 339 
2020/2021,Maraîchage,Oignon vert,Production-T (Tonnes)," 2,200 "
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes)," 8,000 "
2020/2021,Rosacées,Figuier,Production-T (Tonnes), 700 
2020/2021,Fourragères,Bersim,Production-T (Tonnes), 200 
2020/2021,Maraîchage,Oignon,Production-T (Tonnes)," 7,200 "
2020/2021,Fourragères,Bersim,Superficie (Ha), 550 
2020/2021,Légumineuses,Pois chiche,Superficie (Ha), 80 
2020/2021,Maraîchage,Melon,Superficie (Ha), 120 
2020/2021,Maraîchage,Oignon,Production-T (Tonnes), 700 
2020/2021,Fourragères,Avoine vert,Superficie (Ha)," 2,500 "
2020/2021,Fourragères,Mais fourrager,Production-T (Tonnes), 5 
2020/2021,Légumineuses,Lentille,Superficie (Ha), 150 
2020/2021,Maraîchage,Betterave potager,Production-T (Tonnes), 900 
2020/2021,Agrumes,Orange_Washignton sanguine,Superficie (Ha), 195 
2020/2021,Maraîchage,Courge courgette,Superficie (Ha), 44 
2020/2021,Oléagineuses,Colza,Superficie (Ha), 60 
2020/2021,Légumineuses,Lentille,Superficie (Ha), 10 
2020/2021,Rosacées,Figuier,Superficie (Ha), 213 
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 910 
2020/2021,Céréales,Blé dur,Production-T (Tonnes)," 15,119 "
2020/2021,Rosacées,Bananier,Production-T (Tonnes)," 22,000 "
2020/2021,Maraîchage,Haricot vert,Production-T (Tonnes), 440 
2020/2021,Rosacées,Pommier,Superficie (Ha), 95 
2020/2021,Maraîchage,Betterave potager,Production-T (Tonnes), 600 
2020/2021,Rosacées,Caroubier,Superficie (Ha)," 2,800 "
2020/2021,Fourragères,Mais fourrager,Production-T (Tonnes), 920 
2020/2021,Agrumes,Orange_Autres,Production-T (Tonnes)," 6,631 "
2020/2021,Légumineuses,Fève,Superficie (Ha), 500 
2020/2021,Agrumes,Petit fruit_Nova,Production-T (Tonnes)," 2,161 "
2020/2021,Rosacées,Pêcher-nectarine,Superficie (Ha), 23 
2020/2021,Industrielles,Cornichon,Production-T (Tonnes), 380 
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 2,160 "
2020/2021,Légumineuses,Fève,Superficie (Ha), 20 
2020/2021,Rosacées,Abricotier,Superficie (Ha), 4 
2020/2021,Fourragères,Orge fourrager,Superficie (Ha), 300 
2020/2021,Oliviers,Olivier,Production-T (Tonnes), 707 
2020/2021,Rosacées,Cognassier,Production-T (Tonnes), 6 
2020/2021,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 23,135 "
2020/2021,Fourragères,Orge fourrager,Production-T (Tonnes)," 28,500 "
2020/2021,Fourragères,Mais fourrager,Superficie (Ha), 50 
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes)," 1,561 "
2020/2021,Agrumes,Orange_Navel lane late,Production-T (Tonnes), 278 
2020/2021,Maraîchage,Betterave potager,Superficie (Ha), 28 
2020/2021,Légumineuses,Pois chiche,Superficie (Ha)," 2,440 "
2020/2021,Oliviers,Olivier,Production-T (Tonnes), 200 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes), 114 
2020/2021,Légumineuses,Autres légumineuses,Superficie (Ha), 30 
2020/2021,Oliviers,Olivier,Superficie (Ha), 900 
2020/2021,Maraîchage,Oignon,Superficie (Ha)," 1,384 "
2020/2021,Maraîchage,Petit Pois vert,Superficie (Ha), 150 
2020/2021,Agrumes,Petit fruit_Clémentine,Production-T (Tonnes), 482 
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes)," 1,400 "
2020/2021,Maraîchage,Fève verte,Superficie (Ha), 60 
2020/2021,Rosacées,Figuier,Superficie (Ha)," 6,811 "
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes), 6 
2020/2021,Rosacées,Néflier,Superficie (Ha), 10 
2020/2021,Maraîchage,Carotte,Production-T (Tonnes)," 7,800 "
2020/2021,Céréales,Orge,Production-T (Tonnes)," 7,260 "
2020/2021,Amandiers,Amandier,Superficie (Ha), 247 
2020/2021,Rosacées,Pêcher-nectarine,Superficie (Ha), 85 
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 4,805 "
2020/2021,Agrumes,Citron,Superficie (Ha), 41 
2020/2021,Maraîchage,Choux pomme,Superficie (Ha), 60 
2020/2021,Maraîchage,Oignon vert,Production-T (Tonnes)," 31,000 "
2020/2021,Rosacées,Poirier,Superficie (Ha), 86 
2020/2021,Maraîchage,Petit Pois vert,Superficie (Ha), 200 
2020/2021,Rosacées,Pêcher-nectarine,Production-T (Tonnes), 338 
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes), 294 
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 53,702 "
2020/2021,Rosacées,Figuier,Superficie (Ha), 18 
2020/2021,Rosacées,Cerisier,Production-T (Tonnes)," 5,120 "
2020/2021,Rosacées,Abricotier,Superficie (Ha), 24 
2020/2021,Agrumes,Petit fruit_Nova,Superficie (Ha), 63 
2020/2021,Maraîchage,Oignon vert,Superficie (Ha), 20 
2020/2021,Maraîchage,Aubergine,Superficie (Ha), 30 
2020/2021,Fourragères,Luzerne,Superficie (Ha), 70 
2020/2021,Rosacées,Pommier,Production-T (Tonnes)," 15,200 "
2020/2021,Maraîchage,Melon,Production-T (Tonnes)," 1,050 "
2020/2021,Rosacées,Grenadier,Production-T (Tonnes), 36 
2020/2021,Maraîchage,Melon,Production-T (Tonnes)," 26,105 "
2020/2021,Céréales,Orge,Superficie (Ha), 630 
2020/2021,Légumineuses,Lentille,Production-T (Tonnes)," 1,800 "
2020/2021,Céréales,Orge,Production-T (Tonnes), 862 
2020/2021,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 2,000 "
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 120 
2020/2021,Amandiers,Amandier,Production-T (Tonnes), 282 
2020/2021,Céréales,Avoine,Production-T (Tonnes), 300 
2020/2021,Céréales,Blé tendre,Production-T (Tonnes)," 20,800 "
2020/2021,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 4,052 "
2020/2021,Oliviers,Olivier,Superficie (Ha)," 28,812 "
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 400 
2020/2021,Rosacées,Abricotier,Superficie (Ha), 557 
2020/2021,Maraîchage,Menthe,Superficie (Ha), 130 
2020/2021,Amandiers,Amandier,Superficie (Ha), 40 
2020/2021,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 4,068 "
2020/2021,Maraîchage,Carotte,Production-T (Tonnes), 400 
2020/2021,Industrielles,Safran,Production-T (Tonnes), 0 
2020/2021,Agrumes,Orange_Navel,Superficie (Ha)," 3,375 "
2020/2021,Rosacées,Pêcher-nectarine,Superficie (Ha), 2 
2020/2021,Céréales,Orge,Superficie (Ha), 50 
2020/2021,Oliviers,Olivier,Superficie (Ha), 437 
2020/2021,Céréales,Orge,Production-T (Tonnes)," 2,081 "
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes), 7 
2020/2021,Vignes,Raisin de table,Superficie (Ha)," 1,776 "
2020/2021,Céréales,Orge,Production-T (Tonnes)," 7,954 "
2020/2021,Industrielles,Cornichon,Superficie (Ha), 55 
2020/2021,Maraîchage,Pastèque,Production-T (Tonnes)," 50,408 "
2020/2021,Maraîchage,Courge courgette,Superficie (Ha), 240 
2020/2021,Maraîchage,Artichaut,Superficie (Ha), 5 
2020/2021,Maraîchage,Haricot vert,Production-T (Tonnes), 50 
2020/2021,Légumineuses,Lentille,Production-T (Tonnes), 5 
2020/2021,Rosacées,Prunier,Production-T (Tonnes)," 3,381 "
2020/2021,Rosacées,Poirier,Superficie (Ha), 156 
2020/2021,Maraîchage,Courge courgette,Superficie (Ha), 707 
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes), 300 
2020/2021,Maraîchage,Aubergine,Production-T (Tonnes), 162 
2020/2021,Agrumes,Petit fruit_Nova,Superficie (Ha), 0 
2020/2021,Céréales,Blé tendre,Superficie (Ha)," 18,400 "
2020/2021,Céréales,Blé dur,Production-T (Tonnes)," 1,598 "
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes), 600 
2020/2021,Amandiers,Amandier,Superficie (Ha), 566 
2020/2021,Rosacées,Prunier,Superficie (Ha), 13 
2020/2021,Oliviers,Olivier,Superficie (Ha)," 4,671 "
2020/2021,Céréales,Blé dur,Production-T (Tonnes)," 9,383 "
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 4,109 "
2020/2021,Maraîchage,Piment poivron,Superficie (Ha), 303 
2020/2021,Maraîchage,Autres cultures maraichères,Superficie (Ha), 774 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes), 800 
2020/2021,Légumineuses,Petit pois,Superficie (Ha), 196 
2020/2021,Amandiers,Amandier,Superficie (Ha), 20 
2020/2021,Rosacées,Prunier,Production-T (Tonnes), 265 
2020/2021,Maraîchage,Menthe,Superficie (Ha), 300 
2020/2021,Légumineuses,Fève,Production-T (Tonnes), 208 
2020/2021,Agrumes,Orange_Navel,Superficie (Ha), 56 
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes), 927 
2020/2021,Céréales,Orge,Superficie (Ha), 956 
2020/2021,Fourragères,Luzerne,Superficie (Ha)," 2,524 "
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes), 520 
2020/2021,Agrumes,Petit fruit_Ortanique,Superficie (Ha), 35 
2020/2021,Céréales,Blé tendre,Superficie (Ha)," 47,500 "
2020/2021,Fourragères,Orge fourrager,Production-T (Tonnes)," 2,410 "
2020/2021,Céréales,Blé dur,Production-T (Tonnes)," 4,553 "
2020/2021,Amandiers,Amandier,Production-T (Tonnes), 1 
2020/2021,Maraîchage,Autres cultures maraichères,Production-T (Tonnes), 310 
2020/2021,Palmiers-Dattiers,Palmier dattier,Superficie (Ha), 740 
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 9,598 "
2020/2021,Maraîchage,Oignon,Superficie (Ha), 600 
2020/2021,Amandiers,Amandier,Superficie (Ha)," 4,121 "
2020/2021,Rosacées,Prunier,Production-T (Tonnes), 25 
2020/2021,Maraîchage,Piment poivron,Production-T (Tonnes)," 70,100 "
2020/2021,Rosacées,Cerisier,Superficie (Ha), 81 
2020/2021,Agrumes,Petit fruit_Nova,Superficie (Ha), 5 
2020/2021,Rosacées,Grenadier,Superficie (Ha), 275 
2020/2021,Maraîchage,Oignon,Production-T (Tonnes)," 2,460 "
2020/2021,Céréales,Orge,Production-T (Tonnes)," 92,557 "
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 2,850 "
2020/2021,Fourragères,Luzerne,Production-T (Tonnes), 600 
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes), 180 
2020/2021,Rosacées,Figuier,Production-T (Tonnes), 3 
2020/2021,Maraîchage,Navet,Superficie (Ha), 20 
2020/2021,Céréales,Blé tendre,Production-T (Tonnes)," 152,050 "
2020/2021,Maraîchage,Haricot vert,Superficie (Ha), 25 
2020/2021,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 13,113 "
2020/2021,Amandiers,Amandier,Production-T (Tonnes), 470 
2020/2021,Rosacées,Figuier,Superficie (Ha), 16 
2020/2021,Céréales,Mais,Superficie (Ha)," 13,000 "
2020/2021,Oliviers,Olivier,Superficie (Ha), 641 
2020/2021,Maraîchage,Oignon,Production-T (Tonnes), 230 
2020/2021,Maraîchage,Tomate,Superficie (Ha), 296 
2020/2021,Maraîchage,Choux pomme,Production-T (Tonnes)," 1,253 "
2020/2021,Agrumes,Orange_Navel,Superficie (Ha), 7 
2020/2021,Maraîchage,Oignon,Production-T (Tonnes), 289 
2020/2021,Agrumes,Petit fruit_Nules,Production-T (Tonnes)," 2,500 "
2020/2021,Agrumes,Orange_Navel late,Superficie (Ha), 9 
2020/2021,Maraîchage,Navet,Superficie (Ha), 100 
2020/2021,Rosacées,Poirier,Superficie (Ha), 89 
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes)," 1,750 "
2020/2021,Maraîchage,Fève verte,Superficie (Ha), 20 
2020/2021,Maraîchage,Betterave potager,Superficie (Ha), 10 
2020/2021,Maraîchage,Niora,Production-T (Tonnes), 75 
2020/2021,Rosacées,Autres plantations fruitières,Superficie (Ha), 50 
2020/2021,Agrumes,Orange_Navel,Superficie (Ha)," 1,101 "
2020/2021,Maraîchage,Oignon vert,Superficie (Ha), 40 
2020/2021,Rosacées,Abricotier,Production-T (Tonnes), 30 
2020/2021,Maraîchage,Patate douce,Superficie (Ha), 100 
2020/2021,Rosacées,Cognassier,Superficie (Ha), 63 
2020/2021,Agrumes,Citron,Production-T (Tonnes), 137 
2020/2021,Rosacées,Pommier,Production-T (Tonnes), 279 
2020/2021,Rosacées,Grenadier,Superficie (Ha), 110 
2020/2021,Fourragères,Luzerne,Production-T (Tonnes)," 93,600 "
2020/2021,Légumineuses,Pois chiche,Production-T (Tonnes)," 6,432 "
2020/2021,Maraîchage,Artichaut,Production-T (Tonnes), 72 
2020/2021,Rosacées,Pommier,Superficie (Ha), 65 
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes), 198 
2020/2021,Fourragères,Triticale,Production-T (Tonnes), 250 
2020/2021,Maraîchage,Pastèque,Production-T (Tonnes)," 1,170 "
2020/2021,Rosacées,Cognassier,Superficie (Ha), 106 
2020/2021,Maraîchage,Melon,Superficie (Ha), 60 
2020/2021,Maraîchage,Choux fleur,Production-T (Tonnes), 825 
2020/2021,Fourragères,Luzerne,Superficie (Ha)," 2,870 "
2020/2021,Maraîchage,Tomate,Superficie (Ha)," 6,287 "
2020/2021,Rosacées,Noyer,Superficie (Ha), 48 
2020/2021,Agrumes,Orange_Washignton sanguine,Superficie (Ha), 221 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes)," 1,037 "
2020/2021,Maraîchage,Concombre,Superficie (Ha), 40 
2020/2021,Maraîchage,Petit Pois vert,Production-T (Tonnes)," 1,050 "
2020/2021,Céréales,Blé dur,Superficie (Ha), 700 
2020/2021,Céréales,Blé tendre,Superficie (Ha)," 59,500 "
2020/2021,Fourragères,Luzerne,Superficie (Ha)," 8,011 "
2020/2021,Maraîchage,Choux fleur,Production-T (Tonnes)," 1,400 "
2020/2021,Agrumes,Petit fruit_Nova,Production-T (Tonnes)," 1,136 "
2020/2021,Maraîchage,Fève verte,Production-T (Tonnes), 60 
2020/2021,Rosacées,Abricotier,Superficie (Ha), 72 
2020/2021,Fourragères,Mélange fourrager,Production-T (Tonnes), 400 
2020/2021,Rosacées,Poirier,Production-T (Tonnes)," 4,427 "
2020/2021,Maraîchage,Melon,Production-T (Tonnes)," 2,850 "
2020/2021,Rosacées,Cognassier,Production-T (Tonnes), 468 
2020/2021,Maraîchage,Oignon,Superficie (Ha), 170 
2020/2021,Fourragères,Orge fourrager,Superficie (Ha)," 1,100 "
2020/2021,Maraîchage,Navet,Production-T (Tonnes), 150 
2020/2021,Agrumes,Petit fruit_Nova,Superficie (Ha), 180 
2020/2021,Oliviers,Olivier,Production-T (Tonnes)," 49,698 "
2020/2021,Maraîchage,Fève verte,Superficie (Ha), 470 
2020/2021,Rosacées,Grenadier,Superficie (Ha), 300 
2020/2021,Oliviers,Olivier,Production-T (Tonnes), 400 
2020/2021,Rosacées,Grenadier,Production-T (Tonnes), 32 
2020/2021,Céréales,Blé tendre,Superficie (Ha), 765 
2020/2021,Maraîchage,Melon,Production-T (Tonnes)," 2,000 "
2020/2021,Maraîchage,Oignon,Superficie (Ha), 200 
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes), 400 
2020/2021,Maraîchage,Fève verte,Superficie (Ha), 50 
2020/2021,Fourragères,Avoine vert,Superficie (Ha), 330 
2020/2021,Rosacées,Pêcher-nectarine,Production-T (Tonnes)," 4,490 "
2020/2021,Fourragères,Orge fourrager,Superficie (Ha)," 3,000 "
2020/2021,Oliviers,Olivier,Superficie (Ha), 22 
2020/2021,Maraîchage,Menthe,Production-T (Tonnes), 60 
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha)," 5,400 "
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes), 150 
2020/2021,Sucrières,Betterave à sucre,Superficie (Ha)," 4,224 "
2020/2021,Maraîchage,Autres cultures maraichères,Superficie (Ha), 24 
2020/2021,Oliviers,Olivier,Superficie (Ha), 539 
2020/2021,Maraîchage,Navet,Production-T (Tonnes)," 4,000 "
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes)," 8,000 "
2020/2021,Rosacées,Prunier,Superficie (Ha), 98 
2020/2021,Maraîchage,Pastèque,Superficie (Ha), 5 
2020/2021,Rosacées,Cognassier,Superficie (Ha), 25 
2020/2021,Industrielles,Câprier,Superficie (Ha)," 7,000 "
2020/2021,Agrumes,Orange_Maroc late,Superficie (Ha), 5 
2020/2021,Rosacées,Autres plantations fruitières,Production-T (Tonnes), 100 
2020/2021,Fourragères,Orge fourrager,Superficie (Ha), 300 
2020/2021,Maraîchage,Navet,Production-T (Tonnes)," 1,643 "
2020/2021,Maraîchage,Courge courgette,Superficie (Ha), 180 
2020/2021,Céréales,Orge,Production-T (Tonnes), 12 
2020/2021,Fourragères,Lupin,Superficie (Ha), 800 
2020/2021,Fourragères,Mais fourrager,Superficie (Ha)," 2,500 "
2020/2021,Maraîchage,Courge courgette,Superficie (Ha), 20 
2020/2021,Maraîchage,Pomme de terre,Production-T (Tonnes), 982 
2020/2021,Céréales,Blé tendre,Superficie (Ha), 300 
2020/2021,Maraîchage,Pastèque,Superficie (Ha), 40 
2020/2021,Oléagineuses,Tournesol,Superficie (Ha), 107 
2020/2021,Agrumes,Petit fruit_Nules,Production-T (Tonnes), 833 
2020/2021,Céréales,Orge,Production-T (Tonnes)," 29,927 "
2020/2021,Céréales,Blé dur,Production-T (Tonnes), 874 
2020/2021,Rosacées,Abricotier,Superficie (Ha), 22 
2020/2021,Légumineuses,Petit pois,Superficie (Ha), 750 
2020/2021,Agrumes,Orange_Navel,Superficie (Ha), 319 
2020/2021,Céréales,Blé dur,Production-T (Tonnes)," 38,081 "
2020/2021,Rosacées,Prunier,Superficie (Ha)," 1,095 "
2020/2021,Céréales,Orge,Superficie (Ha)," 10,200 "
2020/2021,Légumineuses,Lentille,Production-T (Tonnes), 16 
2020/2021,Rosacées,Avocatier,Superficie (Ha), 135 
2020/2021,Oliviers,Olivier,Superficie (Ha), 45 
2020/2021,Céréales,Blé tendre,Production-T (Tonnes)," 7,446 "
2020/2021,Fourragères,Avoine vert,Production-T (Tonnes)," 5,000 "
2020/2021,Céréales,Blé dur,Production-T (Tonnes), 212 
2020/2021,Maraîchage,Choux pomme,Production-T (Tonnes), 144 
2020/2021,Oliviers,Olivier,Production-T (Tonnes), 62 
2020/2021,Maraîchage,Tomate,Production-T (Tonnes)," 7,700 "
2020/2021,Légumineuses,Petit pois,Production-T (Tonnes), 413 
2020/2021,Maraîchage,Tomate,Superficie (Ha), 10 
2020/2021,Céréales,Blé dur,Production-T (Tonnes), 7 
2020/2021,Rosacées,Abricotier,Superficie (Ha), 52 
2020/2021,Rosacées,Pommier,Production-T (Tonnes)," 63,350 "
2020/2021,Agrumes,Petit fruit_Clémentine,Superficie (Ha), 380 
2020/2021,Maraîchage,Pomme de terre,Superficie (Ha), 100 
2020/2021,Légumineuses,Pois chiche,Production-T (Tonnes), 322 
2020/2021,Maraîchage,Navet,Superficie (Ha), 5 
2020/2021,Rosacées,Poirier,Production-T (Tonnes), 155 
2020/2021,Légumineuses,Autres légumineuses,Superficie (Ha), 460 
2020/2021,Maraîchage,Petit Pois vert,Superficie (Ha), 80 
2020/2021,Maraîchage,Haricot vert,Production-T (Tonnes), 5 
2020/2021,Fourragères,Luzerne,Production-T (Tonnes)," 14,850 "
2020/2021,Céréales,Blé tendre,Superficie (Ha)," 5,400 "
2020/2021,Maraîchage,Pastèque,Production-T (Tonnes)," 24,290 "
2020/2021,Rosacées,Poirier,Superficie (Ha), 14 
2020/2021,Céréales,Riz,Superficie (Ha)," 3,849 "
2020/2021,Maraîchage,Carotte,Superficie (Ha), 25 
2020/2021,Maraîchage,Navet,Production-T (Tonnes), 178 
2020/2021,Sucrières,Betterave à sucre,Production-T (Tonnes), 710 
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes)," 1,360 "
2020/2021,Maraîchage,Courge courgette,Production-T (Tonnes), 60 
2020/2021,Rosacées,Figuier,Production-T (Tonnes)," 2,218 "
2020/2021,Fourragères,Avoine vert,Production-T (Tonnes)," 1,000 "
2020/2021,Rosacées,Pacanier,Production-T (Tonnes), 204 
2020/2021,Fourragères,Vesce avoine,Production-T (Tonnes), 375 
2020/2021,Légumineuses,Petit pois,Superficie (Ha), 10 
