,Occurrence,Filière,Produit,Indicateur, Valeur 
32,2010,Agrumes,Petit fruit_Nova,Production-T (Tonnes),13611.0
33,2010,Agrumes,Petit fruit_Nova,Superficie (Ha),814.0
34,2010,Agrumes,Petit fruit_Nules,Production-T (Tonnes),79966.0
35,2010,Agrumes,Petit fruit_Nules,Superficie (Ha),5895.0
36,2010,Agrumes,Petit fruit_Ortanique,Production-T (Tonnes),17236.0
37,2010,Agrumes,Petit fruit_Ortanique,Superficie (Ha),710.0
38,2010,Amandiers,Amandier,Production-T (Tonnes),101382.0
39,2010,Amandiers,Amandier,Superficie (Ha),143969.0
40,2010,Céréales,Autres céréales,Production-T (Tonnes),2740.0
41,2010,Céréales,Autres céréales,Superficie (Ha),3200.0
42,2010,Céréales,Avoine,Production-T (Tonnes),36765.0
43,2010,Céréales,Avoine,Superficie (Ha),54230.0
44,2010,Céréales,Blé dur,Production-T (Tonnes),1847958.0
45,2010,Céréales,Blé dur,Superficie (Ha),957200.0
46,2010,Céréales,Blé tendre,Production-T (Tonnes),4169865.0
47,2010,Céréales,Blé tendre,Superficie (Ha),2131000.0
48,2010,Céréales,Mais,Production-T (Tonnes),221299.0
49,2010,Céréales,Mais,Superficie (Ha),191888.0
50,2010,Céréales,Orge,Production-T (Tonnes),2317611.0
51,2010,Céréales,Orge,Superficie (Ha),2025898.0
52,2010,Céréales,Riz,Production-T (Tonnes),17840.0
53,2010,Céréales,Riz,Superficie (Ha),2550.0
54,2010,Céréales,Sorgho,Production-T (Tonnes),7915.0
55,2010,Céréales,Sorgho,Superficie (Ha),9880.0
56,2010,Fourragères,Avoine vert,Production-T (Tonnes),111613.0
57,2010,Fourragères,Avoine vert,Superficie (Ha),40156.0
58,2010,Fourragères,Bersim,Production-T (Tonnes),3459570.0
59,2010,Fourragères,Bersim,Superficie (Ha),62101.0
60,2010,Fourragères,Lupin,Production-T (Tonnes),89630.0
61,2010,Fourragères,Lupin,Superficie (Ha),3240.0
62,2010,Fourragères,Luzerne,Production-T (Tonnes),5562554.0
63,2010,Fourragères,Luzerne,Superficie (Ha),105081.0
64,2010,Fourragères,Mais fourrager,Production-T (Tonnes),1484196.0
65,2010,Fourragères,Mais fourrager,Superficie (Ha),37650.0
66,2010,Fourragères,Mélange fourrager,Production-T (Tonnes),438074.0
67,2010,Fourragères,Mélange fourrager,Superficie (Ha),31510.0
68,2010,Fourragères,Orge fourrager,Production-T (Tonnes),1844154.0
69,2010,Fourragères,Orge fourrager,Superficie (Ha),109383.0
70,2010,Fourragères,Pois fourrager,Production-T (Tonnes),75800.0
71,2010,Fourragères,Pois fourrager,Superficie (Ha),13871.0
72,2010,Fourragères,Sorgho fourrager,Production-T (Tonnes),357200.0
73,2010,Fourragères,Sorgho fourrager,Superficie (Ha),5972.0
74,2010,Fourragères,Triticale,Production-T (Tonnes),12174.0
75,2010,Fourragères,Triticale,Superficie (Ha),2690.0
76,2010,Fourragères,Vesce avoine,Production-T (Tonnes),275661.0
77,2010,Fourragères,Vesce avoine,Superficie (Ha),23490.0
78,2010,Industrielles,Cannabis,Superficie (Ha),97000.0
79,2010,Industrielles,Câprier,Production-T (Tonnes),19490.0
80,2010,Industrielles,Câprier,Superficie (Ha),21581.0
81,2010,Industrielles,Coriandre récoltée,Production-T (Tonnes),4493.0
82,2010,Industrielles,Coriandre récoltée,Superficie (Ha),3520.0
83,2010,Industrielles,Cornichon,Production-T (Tonnes),3.0
84,2010,Industrielles,Cornichon,Superficie (Ha),60.0
85,2010,Industrielles,Henné,Production-T (Tonnes),10038.0
86,2010,Industrielles,Henné,Superficie (Ha),3280.0
87,2010,Industrielles,Piment de Cayenne,Production-T (Tonnes),14.0
88,2010,Industrielles,Piment de Cayenne,Superficie (Ha),7.0
89,2010,Industrielles,Rosier,Production-T (Tonnes),231.0
90,2010,Industrielles,Rosier,Superficie (Ha),368.0
91,2010,Industrielles,Safran,Production-T (Tonnes),5.0
92,2010,Industrielles,Safran,Superficie (Ha),1060.0
93,2010,Industrielles,Sorgho a balais,Production-T (Tonnes),372.0
94,2010,Industrielles,Sorgho a balais,Superficie (Ha),310.0
95,2010,Jachère,Jachère,Superficie (Ha),1497814.0
96,2010,Légumineuses,Autres légumineuses,Production-T (Tonnes),31176.0
97,2010,Légumineuses,Autres légumineuses,Superficie (Ha),22406.0
98,2010,Légumineuses,Fève,Production-T (Tonnes),170553.0
99,2010,Légumineuses,Fève,Superficie (Ha),199618.0
100,2010,Légumineuses,Féverole,Production-T (Tonnes),18500.0
101,2010,Légumineuses,Féverole,Superficie (Ha),2410.0
102,2010,Légumineuses,Lentille,Production-T (Tonnes),45439.0
103,2010,Légumineuses,Lentille,Superficie (Ha),57987.0
104,2010,Légumineuses,Orobe,Production-T (Tonnes),6498.0
105,2010,Légumineuses,Orobe,Superficie (Ha),10050.0
106,2010,Légumineuses,Petit pois,Production-T (Tonnes),39788.0
107,2010,Légumineuses,Petit pois,Superficie (Ha),50244.0
108,2010,Légumineuses,Pois chiche,Production-T (Tonnes),45734.0
109,2010,Légumineuses,Pois chiche,Superficie (Ha),88785.0
110,2010,Maraîchage,Ail,Production-T (Tonnes),22376.0
111,2010,Maraîchage,Ail,Superficie (Ha),1513.0
112,2010,Maraîchage,Artichaut,Production-T (Tonnes),43137.0
113,2010,Maraîchage,Artichaut,Superficie (Ha),2769.0
114,2010,Maraîchage,Asperge,Production-T (Tonnes),0.0
115,2010,Maraîchage,Asperge,Superficie (Ha),0.0
116,2010,Maraîchage,Aubergine,Production-T (Tonnes),34824.0
117,2010,Maraîchage,Aubergine,Superficie (Ha),1775.0
118,2010,Maraîchage,Autres cultures maraichères,Production-T (Tonnes),560598.0
119,2010,Maraîchage,Autres cultures maraichères,Superficie (Ha),24923.0
120,2010,Maraîchage,Betterave potager,Production-T (Tonnes),5713.0
121,2010,Maraîchage,Betterave potager,Superficie (Ha),330.0
122,2010,Maraîchage,Carotte,Production-T (Tonnes),427734.0
123,2010,Maraîchage,Carotte,Superficie (Ha),12944.0
124,2010,Maraîchage,Choux fleur,Production-T (Tonnes),104569.0
125,2010,Maraîchage,Choux fleur,Superficie (Ha),3637.0
126,2010,Maraîchage,Choux pomme,Production-T (Tonnes),10341.0
127,2010,Maraîchage,Choux pomme,Superficie (Ha),863.0
128,2010,Maraîchage,Concombre,Production-T (Tonnes),51224.0
129,2010,Maraîchage,Concombre,Superficie (Ha),1040.0
130,2010,Maraîchage,Courge courgette,Production-T (Tonnes),219609.0
131,2010,Maraîchage,Courge courgette,Superficie (Ha),8110.0
